Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2024-06-24,544.3300170898438,546.9500122070312,542.6199951171875,542.739990234375,531.5545043945312,45528700,SPY
2024-06-25,543.989990234375,545.2000122070312,542.4400024414062,544.8300170898438,533.6014404296875,37936200,SPY
2024-06-26,543.6900024414062,546.239990234375,543.030029296875,545.510009765625,534.2674560546875,38550600,SPY
2024-06-27,545.3699951171875,546.9600219726562,544.6099853515625,546.3699951171875,535.1096801757812,35041500,SPY
2024-06-28,547.1599731445312,550.280029296875,542.9500122070312,544.219970703125,533.0039672851562,76144500,SPY
2024-07-01,545.6300048828125,545.8800048828125,542.52001953125,545.3400268554688,534.1008911132812,40297800,SPY
2024-07-02,543.7000122070312,549.010009765625,543.6500244140625,549.010009765625,537.6952514648438,40434800,SPY
2024-07-03,548.6900024414062,551.8300170898438,548.6500244140625,551.4600219726562,540.0948486328125,32789900,SPY
2024-07-05,551.77001953125,555.0499877929688,551.1199951171875,554.6400146484375,543.2091674804688,41488400,SPY
2024-07-08,555.4400024414062,556.25,554.1900024414062,555.280029296875,543.8361206054688,36110500,SPY
2024-07-09,556.260009765625,557.1799926757812,555.52001953125,555.8200073242188,544.3649291992188,27289700,SPY
2024-07-10,557.0700073242188,561.6699829101562,556.77001953125,561.3200073242188,549.7515869140625,38701200,SPY
2024-07-11,561.4400024414062,562.3300170898438,555.8300170898438,556.47998046875,545.0112915039062,53054200,SPY
2024-07-12,557.6300048828125,563.6699829101562,557.1500244140625,559.989990234375,548.4490356445312,53084400,SPY
2024-07-15,562.030029296875,564.8400268554688,559.6300048828125,561.530029296875,549.9573364257812,40584300,SPY
2024-07-16,562.8699951171875,565.1599731445312,562.0999755859375,564.8599853515625,553.2186279296875,36475300,SPY
2024-07-17,558.7999877929688,560.510009765625,556.6099853515625,556.9400024414062,545.4618530273438,57119000,SPY
2024-07-18,558.510009765625,559.52001953125,550.4299926757812,552.6599731445312,541.2700805664062,56270400,SPY
2024-07-19,552.4199829101562,554.0800170898438,547.9099731445312,548.989990234375,537.6756591796875,65509100,SPY
2024-07-22,553.0,555.27001953125,551.02001953125,554.6500244140625,543.2191772460938,43346700,SPY
2024-07-23,554.5399780273438,556.739990234375,553.280029296875,553.780029296875,542.3670654296875,34439600,SPY
2024-07-24,548.8599853515625,549.1699829101562,540.2899780273438,541.22998046875,530.0755004882812,74515300,SPY
2024-07-25,541.3499755859375,547.4600219726562,537.4500122070312,538.4099731445312,527.3138427734375,61158300,SPY
2024-07-26,542.280029296875,547.1900024414062,541.489990234375,544.4400024414062,533.2194213867188,53763800,SPY
2024-07-29,546.02001953125,547.0499877929688,542.719970703125,544.760009765625,533.532958984375,39515800,SPY
2024-07-30,546.260009765625,547.3400268554688,538.52001953125,542.0,530.8297119140625,46853600,SPY
2024-07-31,548.97998046875,553.5,547.5800170898438,550.8099975585938,539.4581298828125,65663400,SPY
2024-08-01,552.5700073242188,554.8699951171875,539.4299926757812,543.010009765625,531.8189086914062,76428700,SPY
2024-08-02,535.75,536.989990234375,528.5999755859375,532.9000244140625,521.9174194335938,82789100,SPY
2024-08-05,511.6400146484375,523.5800170898438,510.2699890136719,517.3800048828125,506.7171936035156,146267400,SPY
2024-08-06,519.219970703125,529.75,517.8699951171875,522.1500244140625,511.3888854980469,84826300,SPY
2024-08-07,528.469970703125,531.5900268554688,518.0499877929688,518.6599731445312,507.97076416015625,70698300,SPY
2024-08-08,523.9099731445312,531.2899780273438,521.8400268554688,530.6500244140625,519.7137451171875,63276600,SPY
2024-08-09,529.8099975585938,534.510009765625,528.5599975585938,532.989990234375,522.00537109375,45619600,SPY
2024-08-12,534.2100219726562,535.72998046875,530.9500122070312,533.27001953125,522.2797241210938,42542100,SPY
2024-08-13,536.530029296875,542.280029296875,536.280029296875,542.0399780273438,530.868896484375,52333100,SPY
2024-08-14,542.8499755859375,544.9600219726562,540.1199951171875,543.75,532.543701171875,42446900,SPY
2024-08-15,549.5,553.3599853515625,548.8800048828125,553.0700073242188,541.671630859375,60846800,SPY
2024-08-16,551.4199829101562,555.02001953125,551.260009765625,554.3099975585938,542.8860473632812,44430700,SPY
2024-08-19,554.72998046875,559.6099853515625,553.8599853515625,559.6099853515625,548.0768432617188,39121800,SPY
2024-08-20,559.1500244140625,560.8400268554688,557.3300170898438,558.7000122070312,547.185546875,33732300,SPY
2024-08-21,559.77001953125,562.1099853515625,554.72998046875,560.6199951171875,549.0659790039062,41514600,SPY
2024-08-22,562.5599975585938,563.1799926757812,554.97998046875,556.219970703125,544.756591796875,56121500,SPY
2024-08-23,559.530029296875,563.0900268554688,557.2899780273438,562.1300048828125,550.5449829101562,50639400,SPY
2024-08-26,563.1799926757812,563.9099731445312,559.0499877929688,560.7899780273438,549.2324829101562,35788600,SPY
2024-08-27,559.489990234375,562.0599975585938,558.3200073242188,561.5599975585938,549.9866333007812,32693900,SPY
2024-08-28,561.2100219726562,561.6500244140625,555.0399780273438,558.2999877929688,546.7937622070312,41066000,SPY
2024-08-29,560.3099975585938,563.6799926757812,557.1799926757812,558.3499755859375,546.8427734375,38715200,SPY
2024-08-30,560.77001953125,564.2000122070312,557.1400146484375,563.6799926757812,552.06298828125,62700100,SPY
2024-09-03,560.469970703125,560.8099975585938,549.510009765625,552.0800170898438,540.7020263671875,60600100,SPY
2024-09-04,550.2000122070312,554.4299926757812,549.4600219726562,550.9500122070312,539.5952758789062,47224900,SPY
2024-09-05,550.8900146484375,553.7999877929688,547.0999755859375,549.6099853515625,538.282958984375,44264300,SPY
2024-09-06,549.9400024414062,551.5999755859375,539.4400024414062,540.3599853515625,529.2235717773438,68493800,SPY
2024-09-09,544.6500244140625,547.7100219726562,542.6799926757812,546.4099731445312,535.1488647460938,40445800,SPY
2024-09-10,548.3599853515625,549.1500244140625,543.3800048828125,548.7899780273438,537.4797973632812,36394600,SPY
2024-09-11,548.7000122070312,555.3599853515625,539.9600219726562,554.4199829101562,542.9937744140625,75248600,SPY
2024-09-12,555.010009765625,559.4000244140625,552.739990234375,559.0900268554688,547.5675659179688,51819600,SPY
2024-09-13,559.7100219726562,563.030029296875,559.4500122070312,562.010009765625,550.42724609375,39310500,SPY
2024-09-16,561.739990234375,563.1099853515625,559.9000244140625,562.8400268554688,551.2403564453125,36656100,SPY
2024-09-17,565.0999755859375,566.5800170898438,560.7899780273438,563.0700073242188,551.4654541015625,49321000,SPY
2024-09-18,563.739990234375,568.6900024414062,560.8300170898438,561.4000244140625,549.8300170898438,59044900,SPY
